123 213.39.228.238 1196140605 http://freemee.de/junkjet/test2.php?now=1196140440&domain=213.39.228.238&point.x=115&point.y=100 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
124 213.39.228.238 1196140630 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
125 213.39.228.238 1196140738 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
126 213.39.228.238 1196140766 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
127 213.39.228.238 1196140825 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
128 213.39.228.238 1196140859 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
129 213.39.228.238 1196140889 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
130 213.39.228.238 1196140898 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
131 213.39.228.238 1196140926 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
132 213.39.228.238 1196140943 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
